STATE,CITY,STATECODE,YEAR,VICTIMS,OFFENDERS,RACE,OFFENCE_CODE,TYPE,VICTIMS_COUNT
 ARKANSAS,PERRYVILLE,AR,2012,1,1,W,13C,ANTI-WHITE,0
 ARKANSAS,LITTLE ROCK,AR,2012,0,1,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,SHERWOOD,AR,2012,0,1,B,26C,ANTI-BISEXUAL,0
 ARKANSAS,SHERWOOD,AR,2012,1,1,W,13B,ANTI-BISEXUAL,0
 ARKANSAS,SHERWOOD,AR,2012,0,1,W,35A,ANTI-WHITE,0
 ARKANSAS,SHERWOOD,AR,2012,0,1,W,35A,ANTI-BISEXUAL,0
 ARKANSAS,SHERWOOD,AR,2012,1,1,W,13A,ANTI-BISEXUAL,0
 ARKANSAS,SHERWOOD,AR,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,SHERWOOD,AR,2012,0,1,W,35A,ANTI-BISEXUAL,0
 ARKANSAS,SHERWOOD,AR,2012,0,1,U,290,ANTI-FEMALE HOMOSEXUAL,0
 ARKANSAS,SHERWOOD,AR,2012,1,2,W,23H,ANTI-BISEXUAL,0
 ARKANSAS,LITTLE ROCK,AR,2012,1,1,B,13B,ANTI-MALE HOMOSEXUAL,0
 ARKANSAS,BENTON,AR,2012,1,1,W,13C,ANTI-MENTAL DISABILITY,0
 ARKANSAS,BENTON,AR,2012,1,1,B,13C,ANTI-WHITE,0
 ARKANSAS,BENTON,AR,2012,1,1,B,23H,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,BENTON,AR,2012,2,2,W,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,BENTON,AR,2012,1,1,B,13B,"ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER, MIXED GROUP (LGBT)",0
 ARKANSAS,BRYANT,AR,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,FORT SMITH,AR,2012,1,1,W,13A,"ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER, MIXED GROUP (LGBT)",0
 ARKANSAS,SPRINGDALE,AR,2012,0,3,W,290,ANTI-MENTAL DISABILITY,0
 ARKANSAS,SPRINGDALE,AR,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,SPRINGDALE,AR,2012,1,1,W,13A,ANTI-HISPANIC OR LATINO,0
 ARKANSAS,SPRINGDALE,AR,2012,1,0,U,290,ANTI-MALE HOMOSEXUAL,0
 ARKANSAS,FAYETTEVILLE,AR,2012,1,0,U,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARKANSAS,OLA,AR,2012,0,3,U,35A,ANTI-WHITE,0
 ARIZONA,WILLCOX,AZ,2012,3,1,M,13A,ANTI-MENTAL DISABILITY,0
 ARIZONA,FLAGSTAFF,AZ,2012,1,1,W,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,FLAGSTAFF,AZ,2012,1,1,W,13C,ANTI-ASIAN,0
 ARIZONA,FLAGSTAFF,AZ,2012,1,0,U,13C,ANTI-OTHER RELIGION,0
 ARIZONA,FLAGSTAFF,AZ,2012,1,2,W,290,ANTI-JEWISH,0
 ARIZONA,FLAGSTAFF,AZ,2012,1,0,U,13C,ANTI-BISEXUAL,0
 ARIZONA,FLAGSTAFF,AZ,2012,1,0,U,13C,ANTI-NOT HISPANIC OR LATINO,0
 ARIZONA,FLAGSTAFF,AZ,2012,2,0,U,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-MULTI-RACIAL,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,GILBERT,AZ,2012,0,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,GILBERT,AZ,2012,1,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,GLENDALE,AZ,2012,3,1,W,13A,ANTI-HISPANIC OR LATINO,0
 ARIZONA,GLENDALE,AZ,2012,0,0,U,290,ANTI-CATHOLIC,0
 ARIZONA,GLENDALE,AZ,2012,1,1,W,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,GLENDALE,AZ,2012,1,1,W,13C,ANTI-WHITE,0
 ARIZONA,GLENDALE,AZ,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,GLENDALE,AZ,2012,1,1,U,13A,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,GLENDALE,AZ,2012,0,0,U,220,ANTI-OTHER RELIGION,0
 ARIZONA,GLENDALE,AZ,2012,1,2,W,13A,ANTI-HISPANIC OR LATINO,0
 ARIZONA,MESA,AZ,2012,1,1,W,13C,ANTI-JEWISH,0
 ARIZONA,MESA,AZ,2012,0,0,U,290,ANTI-OTHER RELIGION,0
 ARIZONA,PARADISE VALLEY,AZ,2012,1,0,U,290,ANTI-JEWISH,0
 ARIZONA,PHOENIX,AZ,2012,0,0,U,290,ANTI-JEWISH,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,13C,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,0,0,U,290,ANTI-JEWISH,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,3,W,120,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,2,3,B,120,ANTI-NOT HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,0,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,13C,ANTI-ASIAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,B,13C,ANTI-ASIAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,2,U,120,ANTI-AMERICAN INDIAN OR ALASKA NATIVE,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13A,ANTI-JEWISH,0
 ARIZONA,PHOENIX,AZ,2012,1,1,B,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,I,13A,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,2,I,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,2,W,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,2,W,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,B,13B,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,2,B,13A,ANTI-NOT HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,3,1,W,13A,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,2,B,13A,ANTI-WHITE,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,13C,ANTI-NOT HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,220,ANTI-NOT HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13A,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13A,ANTI-WHITE,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,13C,ANTI-FEMALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,2,B,13A,ANTI-WHITE,0
 ARIZONA,PHOENIX,AZ,2012,3,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,3,W,13B,ANTI-NOT HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,0,0,U,290,ANTI-MULTI-RACIAL,0
 ARIZONA,PHOENIX,AZ,2012,2,0,U,13C,ANTI-FEMALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,4,1,W,13C,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,2,0,U,23H,ANTI-FEMALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,B,13C,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,3,W,13A,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,0,0,U,290,ANTI-CATHOLIC,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,2,B,13A,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,0,1,W,23H,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,2,2,W,120,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-WHITE,0
 ARIZONA,PHOENIX,AZ,2012,1,3,W,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13A,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,2,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-JEWISH,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,2,1,W,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,2,0,U,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-FEMALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,A,13B,ANTI-AMERICAN INDIAN OR ALASKA NATIVE,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,23H,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,4,W,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,B,13B,ANTI-WHITE,0
 ARIZONA,PHOENIX,AZ,2012,0,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,2,W,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,2,B,13A,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,13C,ANTI-WHITE,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-NOT HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,2,2,A,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,2,1,W,13A,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,B,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,A,13C,ANTI-MULTI-RACIAL,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,2,1,W,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,2,2,B,13A,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,13C,ANTI-CATHOLIC,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-JEWISH,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,220,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,2,W,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,B,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,2,1,B,13A,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,0,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,0,0,U,290,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-MULTI-RACIAL,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,0,1,W,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,PHOENIX,AZ,2012,1,0,U,290,ANTI-MULTI-RELIGIOUS,0
 ARIZONA,PHOENIX,AZ,2012,1,1,W,290,ANTI-WHITE,0
 ARIZONA,PHOENIX,AZ,2012,1,1,A,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,SCOTTSDALE,AZ,2012,1,2,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,SCOTTSDALE,AZ,2012,1,0,U,13C,ANTI-JEWISH,0
 ARIZONA,SCOTTSDALE,AZ,2012,2,0,U,13C,ANTI-JEWISH,0
 ARIZONA,TEMPE,AZ,2012,4,2,M,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,TEMPE,AZ,2012,1,0,U,290,ANTI-JEWISH,0
 ARIZONA,TEMPE,AZ,2012,1,1,W,13B,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,TEMPE,AZ,2012,2,0,U,290,ANTI-JEWISH,0
 ARIZONA,TEMPE,AZ,2012,1,1,W,13A,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,KINGMAN,AZ,2012,1,1,U,13C,ANTI-JEWISH,0
 ARIZONA,SHOW LOW,AZ,2012,1,0,U,13C,ANTI-HISPANIC OR LATINO,0
 ARIZONA,TUCSON,AZ,2012,3,0,U,290,ANTI-HISPANIC OR LATINO,0
 ARIZONA,TUCSON,AZ,2012,1,1,W,13C,ANTI-HISPANIC OR LATINO,0
 ARIZONA,TUCSON,AZ,2012,2,0,U,290,ANTI-ISLAMIC,0
 ARIZONA,TUCSON,AZ,2012,2,1,W,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,TUCSON,AZ,2012,1,1,I,290,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,TUCSON,AZ,2012,1,1,W,13B,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,TUCSON,AZ,2012,2,1,W,13A,ANTI-HISPANIC OR LATINO,0
 ARIZONA,TUCSON,AZ,2012,1,2,W,13C,ANTI-ISLAMIC,0
 ARIZONA,TUCSON,AZ,2012,1,1,W,23H,ANTI-OTHER RELIGION,0
 ARIZONA,TUCSON,AZ,2012,2,1,W,13C,ANTI-JEWISH,0
 ARIZONA,TUCSON,AZ,2012,1,1,A,13C,ANTI-FEMALE HOMOSEXUAL,0
 ARIZONA,TUCSON,AZ,2012,1,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,TUCSON,AZ,2012,1,0,U,13C,ANTI-JEWISH,0
 ARIZONA,TUCSON,AZ,2012,1,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,COOLIDGE,AZ,2012,1,1,M,13A,ANTI-MULTI-RACIAL,0
 ARIZONA,APACHE JUNCTION,AZ,2012,1,0,U,290,ANTI-WHITE,0
 ARIZONA,MARICOPA,AZ,2012,1,0,U,13C,"ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER, MIXED GROUP (LGBT)",0
 ARIZONA,MARICOPA,AZ,2012,1,3,W,220,ANTI-BLACK OR AFRICAN AMERICAN,0
 ARIZONA,MARICOPA,AZ,2012,1,0,U,13C,ANTI-HISPANIC OR LATINO,0
 ARIZONA,PRESCOTT VALLEY,AZ,2012,3,0,U,290,ANTI-MALE HOMOSEXUAL,0
 ARIZONA,YUMA,AZ,2012,1,1,B,13B,ANTI-HISPANIC OR LATINO,0
 ARIZONA,YUMA,AZ,2012,1,1,W,13C,ANTI-HISPANIC OR LATINO,0
 CALIFORNIA,OAKLAND,CA,2012,1,1,W,13A,ANTI-NOT HISPANIC OR LATINO,0
 CALIFORNIA,BERKELEY,CA,2012,3,2,U,13A,ANTI-NOT HISPANIC OR LATINO,0
 CALIFORNIA,BERKELEY,CA,2012,1,0,U,13C,ANTI-CATHOLIC,0
 CALIFORNIA,BERKELEY,CA,2012,1,1,U,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 CALIFORNIA,BERKELEY,CA,2012,1,3,M,13C,ANTI-JEWISH,0
 CALIFORNIA,BERKELEY,CA,2012,1,1,B,13C,ANTI-WHITE,0
 CALIFORNIA,BERKELEY,CA,2012,1,1,B,13B,ANTI-WHITE,0
 CALIFORNIA,BERKELEY,CA,2012,0,0,U,290,"ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER, MIXED GROUP (LGBT)",0
 CALIFORNIA,BERKELEY,CA,2012,3,1,U,13C,ANTI-NOT HISPANIC OR LATINO,0
 CALIFORNIA,HAYWARD,CA,2012,1,1,W,13A,"ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER, MIXED GROUP (LGBT)",0
 CALIFORNIA,HAYWARD,CA,2012,1,0,U,290,ANTI-BLACK OR AFRICAN AMERICAN,0
 CALIFORNIA,HAYWARD,CA,2012,2,2,W,13A,ANTI-WHITE,0
 CALIFORNIA,HAYWARD,CA,2012,1,4,M,290,ANTI-ISLAMIC,0
 CALIFORNIA,LIVERMORE,CA,2012,0,0,U,290,ANTI-NOT HISPANIC OR LATINO,0
 CALIFORNIA,LIVERMORE,CA,2012,1,3,B,13B,ANTI-WHITE,0
 CALIFORNIA,LIVERMORE,CA,2012,1,1,W,13C,ANTI-OTHER RELIGION,0
 CALIFORNIA,NEWARK,CA,2012,1,1,W,13A,ANTI-MALE HOMOSEXUAL,0
 CALIFORNIA,NEWARK,CA,2012,2,1,B,13C,ANTI-HISPANIC OR LATINO,0
 CALIFORNIA,NEWARK,CA,2012,1,2,W,13C,ANTI-MALE HOMOSEXUAL,0
 CALIFORNIA,NEWARK,CA,2012,1,0,U,290,ANTI-JEWISH,0
 CALIFORNIA,NEWARK,CA,2012,4,1,W,13C,ANTI-JEWISH,0
 CALIFORNIA,OAKLAND,CA,2012,1,1,B,13A,ANTI-WHITE,0
 CALIFORNIA,OAKLAND,CA,2012,3,0,U,13C,ANTI-BLACK OR AFRICAN AMERICAN,0
 CALIFORNIA,OAKLAND,CA,2012,1,2,B,13A,"ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER, MIXED GROUP (LGBT)",0
 CALIFORNIA,OAKLAND,CA,2012,1,1,W,13C,ANTI-HETEROSEXUAL,0
